date,symbol,cr0,ps0,hvl0,gw0,d1_min,d1_max
2025-07-01,ES,6260.0,6200.0,6145.0,,6193.43,6303.07
2025-07-02,ES,6300.0,6200.0,6195.0,,6222.65,6331.35
2025-07-03,ES,6350.0,6260.0,6195.0,,6319.27,6330.23
2025-07-07,ES,6310.0,6250.0,6265.0,,6205.01,6321.49
2025-07-08,ES,6300.0,6215.0,6245.0,,6216.63,6326.87
2025-07-09,ES,6320.0,6250.0,6270.0,,6253.49,6359.01
2025-07-10,ES,6350.0,6295.0,6270.0,,6270.02,6372.98
2025-07-11,ES,6280.0,6275.0,6270.0,,6240.57,6347.43
2025-07-14,ES,6325.0,6260.0,6295.0,,6254.44,6364.56
2025-07-15,ES,6310.0,6240.0,6300.0,,6217.25,6330.25
2025-07-16,ES,6350.0,6250.0,6290.0,,6243.74,6354.26
2025-07-17,ES,6350.0,6315.0,6320.0,,6289.67,6394.83
2025-07-18,ES,6340.0,6285.0,6315.0,,6280.81,6389.69
2025-07-21,ES,6375.0,6300.0,6345.0,,6294.33,6402.67
2025-07-22,ES,6350.0,6320.0,6340.0,,6293.46,6401.04
2025-07-23,ES,6400.0,6425.0,6370.0,,6354.45,6457.05
2025-07-24,ES,6425.0,6350.0,6370.0,,6355.84,6457.16
2025-07-25,ES,6440.0,6405.0,6345.0,,6378.47,6478.03
2025-07-28,ES,6445.0,6400.0,6395.0,,6375.23,6473.77
2025-07-29,ES,6440.0,6400.0,6395.0,,6352.43,6454.57
2025-07-30,ES,6500.0,6385.0,6395.0,,6375.86,6475.14
2025-07-31,ES,6425.0,6400.0,6405.0,,6316.36,6421.14
2025-08-01,ES,6275.0,6250.0,6395.0,,6203.44,6323.06
2025-08-04,ES,6400.0,6300.0,6350.0,,6316.39,6422.61
2025-08-05,ES,6350.0,6300.0,6345.0,,6268.89,6380.11
2025-08-06,ES,6400.0,6300.0,6355.0,,6318.02,6423.48
2025-08-07,ES,6400.0,6350.0,6350.0,,6321.56,6425.94
2025-08-08,ES,6450.0,6310.0,6370.0,,6376.6,6473.9
2025-08-11,ES,6450.0,6350.0,6395.0,,6345.1,6447.9
2025-08-12,ES,6475.0,6400.0,6415.0,,6421.03,6515.97
2025-08-13,ES,6500.0,6465.0,6420.0,,6437.25,6530.75
2025-08-14,ES,6500.0,6350.0,6445.0,,6443.11,6536.39
2025-08-15,ES,6480.0,6425.0,6445.0,,6419.73,6514.77
2025-08-18,ES,6500.0,6440.0,6445.0,,6419.89,6514.11
2025-08-19,ES,6465.0,6410.0,6435.0,,6386.52,6483.48
2025-08-20,ES,6430.0,6400.0,6415.0,,6364.52,6464.48
2025-08-21,ES,6450.0,6300.0,6410.0,,6337.33,6444.17
2025-08-22,ES,6500.0,6210.0,6410.0,,6439.67,6529.83
2025-08-25,ES,6475.0,6445.0,6445.0,,6413.26,6505.74
2025-08-26,ES,6515.0,6500.0,6445.0,,6441.82,6532.18
2025-08-27,ES,6500.0,6470.0,6470.0,,6439.33,6531.17
2025-08-28,ES,6500.0,6480.0,6485.0,,6471.99,6560.51
2025-08-29,ES,6510.0,6500.0,6470.0,,6426.44,6521.56
2025-10-01,ES,6770.0,6745.0,6745.0,25.0,6698.75,6815.25
2025-10-02,ES,6800.0,6740.0,6745.0,60.0,6706.03,6823.97
2025-10-03,ES,6780.0,6600.0,6695.0,180.0,6704.3,6821.7
2025-10-06,ES,6800.0,6740.0,6780.0,60.0,6731.33,6849.17
2025-10-07,ES,6800.0,6760.0,6760.0,40.0,6704.42,6825.58
2025-10-08,ES,6825.0,6775.0,6785.0,50.0,6744.16,6862.34
2025-10-09,ES,6800.0,6750.0,6770.0,50.0,6720.23,6839.27
2025-10-10,ES,7100.0,6475.0,6720.0,625.0,6477.62,6626.38
2025-10-13,ES,6700.0,6640.0,6695.0,60.0,6626.5,6753.0
2025-10-14,ES,6740.0,6600.0,6700.0,140.0,6617.74,6752.26
2025-10-15,ES,6755.0,6645.0,6700.0,110.0,6645.68,6781.32
2025-10-16,ES,6705.0,6600.0,6700.0,105.0,6579.82,6738.68
2025-10-17,ES,6740.0,6680.0,6710.0,60.0,6644.43,6777.57
2025-10-20,ES,6800.0,6755.0,6745.0,45.0,6719.66,6840.84
2025-10-21,ES,6800.0,6700.0,6745.0,100.0,6712.65,6832.35
2025-10-22,ES,6755.0,6720.0,6725.0,35.0,6676.15,6798.85
2025-10-23,ES,6800.0,6700.0,6745.0,100.0,6718.77,6836.73
2025-10-24,ES,6800.0,6720.0,6740.0,80.0,6767.89,6882.61
2025-10-27,ES,6925.0,6875.0,6755.0,50.0,6855.65,6972.35
2025-10-28,ES,6950.0,6875.0,6785.0,75.0,6866.22,6988.78
2025-10-29,ES,6950.0,6830.0,6845.0,120.0,6854.7,6981.3
2025-10-30,ES,6950.0,6900.0,6905.0,50.0,6831.6,6956.4
2025-10-31,ES,6950.0,6850.0,6845.0,100.0,6807.68,6936.82
2025-11-03,ES,6900.0,6865.0,6865.0,,6820.14,6947.86
2025-11-04,ES,6850.0,6700.0,6815.0,,6739.33,6873.17
2025-11-05,ES,6850.0,6700.0,6825.0,,6763.75,6891.25
2025-11-06,ES,6790.0,6750.0,6780.0,,6697.28,6832.22
2025-11-07,ES,6850.0,6800.0,6810.0,,6698.57,6831.43
2025-11-10,ES,6885.0,6800.0,6810.0,,6795.76,6919.74
2025-11-11,ES,6890.0,6825.0,6845.0,,6812.79,6935.21
2025-11-12,ES,6900.0,6850.0,6845.0,,6811.31,6935.19
2025-11-13,ES,6820.0,6800.0,6800.0,,6693.65,6831.35
2025-11-14,ES,6850.0,6700.0,6795.0,,6697.49,6833.01
2025-11-17,ES,6770.0,6650.0,6780.0,,6622.1,6772.4
2025-11-18,ES,6710.0,6600.0,6725.0,,6546.25,6709.25
2025-11-19,ES,6720.0,6500.0,6710.0,,6621.24,6770.76
2025-11-20,ES,6800.0,6500.0,6710.0,,6464.59,6639.41
2025-11-21,ES,6670.0,6700.0,6710.0,,6553.69,6709.31
2025-11-24,ES,6750.0,6725.0,6725.0,,6655.58,6794.42
2025-11-25,ES,6800.0,6750.0,6725.0,,6717.41,6844.09
2025-11-26,ES,6850.0,6700.0,6745.0,,6770.55,6889.95
2025-11-28,ES,6865.0,6600.0,6735.0,,6801.42,6917.58
2026-01-02,ES,6920.0,6875.0,6940.0,,6846.61,6954.39
2026-01-05,ES,6960.0,6850.0,6940.0,,6889.09,6997.91
2026-01-06,ES,7000.0,6960.0,6935.0,,6934.61,7042.39
2026-01-07,ES,6985.0,6950.0,6955.0,,6912.26,7021.74
2026-01-08,ES,7000.0,6875.0,6950.0,,6917.3,7025.2
2026-01-09,ES,7000.0,6950.0,6950.0,,6951.5,7056.5
2026-01-12,ES,7050.0,6975.0,6985.0,,6958.54,7064.46
2026-01-13,ES,7050.0,6950.0,6985.0,,6946.61,7051.89
2026-01-14,ES,7000.0,6900.0,6965.0,,6903.04,7016.96
2026-01-15,ES,7050.0,6950.0,6975.0,,6927.83,7039.17
2026-01-16,ES,7000.0,6850.0,6975.0,,6919.11,7036.39
