logged_utc,source,order_id,perm_id,exec_id,local_symbol,side,shares,price,ib_exec_time_utc,ib_exec_time_raw,exchange,last_liquidity,cum_qty,avg_price,commission,currency,realized_pnl
2026-09-08T13:31:06+00:00,marketable,16,325062130,00020057.6a9f94cd.01.01,SPXW  260908P07620000,BOT,1.0,0.5,2026-09-08T13:31:06.229622+00:00,2026-09-08 11:31:06+00:00,CBOE,1,1.0,0.5,0.0,,0.0
2026-09-08T13:31:18+00:00,marketable,17,325062131,00020057.6a9f94f1.01.01,SPXW  260908P07645000,SLD,1.0,1.05,2026-09-08T13:31:17.594472+00:00,2026-09-08 11:31:17+00:00,CBOE,1,1.0,1.05,1.63028,USD,0.0
2026-09-08T13:32:01+00:00,place_combo,31,325062132,00020057.6a9f95c4.01.01,SPX,BOT,1.0,-12.9,2026-09-08T13:32:01.194901+00:00,2026-09-08 11:32:01+00:00,CBOE,1,1.0,-12.9,0.0,,0.0
2026-09-08T13:32:01+00:00,place_combo,31,325062132,00020057.6a9f95c4.02.01,SPXW  260908P07695000,BOT,1.0,8.3,2026-09-08T13:32:01.198382+00:00,2026-09-08 11:32:01+00:00,CBOE,1,1.0,8.3,1.63028,USD,0.0
2026-09-08T13:32:01+00:00,place_combo,31,325062132,00020057.6a9f95c4.03.01,SPXW  260908P07720000,SLD,1.0,21.2,2026-09-08T13:32:01.203508+00:00,2026-09-08 11:32:01+00:00,CBOE,1,1.0,21.2,1.63028,USD,0.0
2026-09-08T13:33:05+00:00,marketable,45,325062135,00020057.6a9f96c5.01.01,SPXW  260908C07745000,BOT,1.0,0.9,2026-09-08T13:33:05.156306+00:00,2026-09-08 11:33:05+00:00,CBOE,1,1.0,0.9,1.54028,USD,0.0
2026-09-08T13:33:17+00:00,marketable,46,325062136,00020057.6a9f96f4.01.01,SPXW  260908C07720000,SLD,1.0,4.3,2026-09-08T13:33:17.143585+00:00,2026-09-08 11:33:17+00:00,CBOE,1,1.0,4.3,1.63028,USD,0.0
2026-09-08T13:33:54+00:00,place_combo,55,325062138,00020057.6a9f978a.01.01,SPX,BOT,1.0,-0.25,2026-09-08T13:33:49.199873+00:00,2026-09-08 11:33:49+00:00,CBOE,1,1.0,-0.25,0.0,,0.0
2026-09-08T13:33:54+00:00,place_combo,55,325062138,00020057.6a9f978a.02.01,SPXW  260908P07605000,BOT,1.0,0.4,2026-09-08T13:33:49.205883+00:00,2026-09-08 11:33:49+00:00,CBOE,1,1.0,0.4,1.54028,USD,0.0
2026-09-08T13:33:54+00:00,place_combo,55,325062138,00020057.6a9f978a.03.01,SPXW  260908P07630000,SLD,1.0,0.65,2026-09-08T13:33:49.212879+00:00,2026-09-08 11:33:49+00:00,CBOE,1,1.0,0.65,1.54028,USD,0.0
2026-09-08T13:34:51+00:00,place_combo,71,325062140,00020057.6a9f983e.01.01,SPX,BOT,1.0,-7.6,2026-09-08T13:34:45.067965+00:00,2026-09-08 11:34:45+00:00,CBOE,1,1.0,-7.6,0.0,,0.0
2026-09-08T13:34:51+00:00,place_combo,71,325062140,00020057.6a9f983e.02.01,SPXW  260908P07705000,SLD,1.0,11.5,2026-09-08T13:34:45.072110+00:00,2026-09-08 11:34:45+00:00,CBOE,1,1.0,11.5,1.63028,USD,0.0
2026-09-08T13:34:51+00:00,place_combo,71,325062140,00020057.6a9f983e.03.01,SPXW  260908P07680000,BOT,1.0,3.9,2026-09-08T13:34:45.075767+00:00,2026-09-08 11:34:45+00:00,CBOE,1,1.0,3.9,1.63028,USD,0.0
2026-09-08T13:35:45+00:00,marketable,85,325062143,00020057.6a9f994d.01.01,SPXW  260908C07730000,BOT,1.0,1.8,2026-09-08T13:35:44.754455+00:00,2026-09-08 11:35:44+00:00,CBOE,1,1.0,1.8,1.63028,USD,0.0
2026-09-08T13:35:49+00:00,marketable,86,325062144,00020057.6a9f995f.01.01,SPXW  260908C07705000,SLD,1.0,8.7,2026-09-08T13:35:48.503708+00:00,2026-09-08 11:35:48+00:00,CBOE,1,1.0,8.7,1.63028,USD,0.0
2026-09-08T13:36:44+00:00,marketable,100,325062147,00020057.6a9f9a85.01.01,SPXW  260908P07650000,BOT,1.0,1.4,2026-09-08T13:36:43.543536+00:00,2026-09-08 11:36:43+00:00,CBOE,1,1.0,1.4,1.63028,USD,0.0
2026-09-08T13:36:45+00:00,marketable,101,325062148,00020057.6a9f9a88.01.01,SPXW  260908P07675000,SLD,1.0,3.9,2026-09-08T13:36:44.334949+00:00,2026-09-08 11:36:44+00:00,CBOE,1,1.0,3.9,1.63028,USD,0.0
2026-09-08T13:37:05+00:00,place_combo,108,325062149,00020057.6a9f9acf.01.01,SPX,BOT,1.0,-0.25,2026-09-08T13:37:01.932328+00:00,2026-09-08 11:37:01+00:00,CBOE,1,1.0,-0.25,0.0,,0.0
2026-09-08T13:37:05+00:00,place_combo,108,325062149,00020057.6a9f9acf.02.01,SPXW  260908C07775000,BOT,1.0,0.2,2026-09-08T13:37:01.936081+00:00,2026-09-08 11:37:01+00:00,CBOE,1,1.0,0.2,1.54028,USD,0.0
2026-09-08T13:37:05+00:00,place_combo,108,325062149,00020057.6a9f9acf.03.01,SPXW  260908C07750000,SLD,1.0,0.45,2026-09-08T13:37:01.939919+00:00,2026-09-08 11:37:01+00:00,CBOE,1,1.0,0.45,1.54028,USD,0.0
2026-09-08T13:47:37+00:00,close_combo,114,325062171,00020057.6a9fa59e.01.01,SPX,SLD,1.0,-18.5,2026-09-08T13:47:32.351478+00:00,2026-09-08 11:47:32+00:00,CBOE,1,1.0,-18.5,0.0,,0.0
2026-09-08T13:47:37+00:00,close_combo,114,325062171,00020057.6a9fa59e.02.01,SPXW  260908P07695000,SLD,1.0,14.3,2026-09-08T13:47:32.354578+00:00,2026-09-08 11:47:32+00:00,CBOE,1,1.0,14.3,1.63028,USD,596.73944
2026-09-08T13:47:37+00:00,close_combo,114,325062171,00020057.6a9fa59e.03.01,SPXW  260908P07720000,BOT,1.0,32.8,2026-09-08T13:47:32.358137+00:00,2026-09-08 11:47:32+00:00,CBOE,1,1.0,32.8,1.63028,USD,-1163.26056
