ts,trade_id,unreal_pnl,mid,vix
2026-08-24 08:31:01,xsp_auto_20260824_083027,-1.5,-0.095,15.84
2026-08-24 08:31:39,xsp_auto_20260824_083027,1.0,-0.07,15.84
2026-08-24 08:32:17,xsp_auto_20260824_083027,1.5,-0.065,15.84
2026-08-24 08:32:17,xsp_auto_20260824_083058,-29.5,-1.715,15.84
2026-08-24 08:32:43,xsp_auto_20260824_083027,1.0,-0.07,15.84
2026-08-24 08:32:43,xsp_auto_20260824_083058,-36.0,-1.78,15.84
2026-08-24 08:33:09,xsp_auto_20260824_083027,-2.0,-0.1,15.84
2026-08-24 08:33:09,xsp_auto_20260824_083058,-51.0,-1.93,15.84
2026-08-24 08:33:51,xsp_auto_20260824_083027,-0.5,-0.085,15.84
2026-08-24 08:33:51,xsp_auto_20260824_083058,-58.5,-2.005,15.84
2026-08-24 08:33:51,xsp_auto_20260824_083312,-0.5,-0.025,15.84
2026-08-24 08:34:51,xsp_auto_20260824_083027,0.5,-0.075,15.83
2026-08-24 08:34:51,xsp_auto_20260824_083058,-49.5,-1.915,15.83
2026-08-24 08:34:51,xsp_auto_20260824_083312,-0.5,-0.025,15.83
2026-08-24 08:34:51,xsp_auto_20260824_083355,-8.0,-0.89,15.83
2026-08-24 08:34:51,xsp_auto_20260824_083418,3.5,-0.665,15.83
2026-08-24 08:35:56,xsp_auto_20260824_083027,1.5,-0.065,15.85
2026-08-24 08:35:56,xsp_auto_20260824_083058,-46.0,-1.88,15.85
2026-08-24 08:35:56,xsp_auto_20260824_083312,0.0,-0.02,15.85
2026-08-24 08:35:56,xsp_auto_20260824_083355,0.5,-0.805,15.85
2026-08-24 08:35:56,xsp_auto_20260824_083418,-3.0,-0.73,15.85
2026-08-24 08:35:56,xsp_auto_20260824_083440,0.0,-0.31,15.85
2026-08-24 08:35:56,xsp_auto_20260824_083512,0.0,-0.18,15.85
2026-08-24 08:36:37,xsp_auto_20260824_083027,1.0,-0.07,15.84
2026-08-24 08:36:37,xsp_auto_20260824_083058,-46.0,-1.88,15.84
2026-08-24 08:36:37,xsp_auto_20260824_083312,0.0,-0.02,15.84
2026-08-24 08:36:37,xsp_auto_20260824_083355,5.0,-0.76,15.84
2026-08-24 08:36:37,xsp_auto_20260824_083418,-7.0,-0.77,15.84
2026-08-24 08:36:37,xsp_auto_20260824_083440,4.5,-0.265,15.84
2026-08-24 08:36:37,xsp_auto_20260824_083512,-3.0,-0.21,15.84
2026-08-24 08:37:18,xsp_auto_20260824_083027,1.5,-0.065,15.84
2026-08-24 08:37:18,xsp_auto_20260824_083058,-39.0,-1.81,15.84
2026-08-24 08:37:18,xsp_auto_20260824_083312,0.0,-0.02,15.84
2026-08-24 08:37:18,xsp_auto_20260824_083355,3.5,-0.775,15.84
2026-08-24 08:37:18,xsp_auto_20260824_083418,-4.0,-0.74,15.84
2026-08-24 08:37:18,xsp_auto_20260824_083440,3.5,-0.275,15.84
2026-08-24 08:37:18,xsp_auto_20260824_083512,-0.5,-0.185,15.84
2026-08-24 08:37:59,xsp_auto_20260824_083027,1.5,-0.065,15.84
2026-08-24 08:37:59,xsp_auto_20260824_083058,-46.5,-1.885,15.84
2026-08-24 08:37:59,xsp_auto_20260824_083312,0.0,-0.02,15.84
2026-08-24 08:37:59,xsp_auto_20260824_083355,3.0,-0.78,15.84
2026-08-24 08:37:59,xsp_auto_20260824_083418,-5.0,-0.75,15.84
2026-08-24 08:37:59,xsp_auto_20260824_083440,2.5,-0.285,15.84
2026-08-24 08:37:59,xsp_auto_20260824_083512,0.5,-0.175,15.84
2026-08-24 08:38:40,xsp_auto_20260824_083027,0.5,-0.075,15.85
2026-08-24 08:38:40,xsp_auto_20260824_083058,-45.0,-1.87,15.85
2026-08-24 08:38:40,xsp_auto_20260824_083312,-0.5,-0.025,15.85
2026-08-24 08:38:40,xsp_auto_20260824_083355,-9.0,-0.9,15.85
2026-08-24 08:38:40,xsp_auto_20260824_083418,3.5,-0.665,15.85
2026-08-24 08:38:40,xsp_auto_20260824_083440,-1.5,-0.325,15.85
2026-08-24 08:38:40,xsp_auto_20260824_083512,3.0,-0.15,15.85
2026-08-24 08:39:21,xsp_auto_20260824_083027,0.0,-0.08,15.85
2026-08-24 08:39:21,xsp_auto_20260824_083058,-57.5,-1.995,15.85
2026-08-24 08:39:21,xsp_auto_20260824_083312,-0.5,-0.025,15.85
2026-08-24 08:39:21,xsp_auto_20260824_083355,-7.0,-0.88,15.85
2026-08-24 08:39:21,xsp_auto_20260824_083418,3.0,-0.67,15.85
2026-08-24 08:39:21,xsp_auto_20260824_083440,-0.5,-0.315,15.85
2026-08-24 08:39:21,xsp_auto_20260824_083512,2.0,-0.16,15.85
2026-08-24 08:40:02,xsp_auto_20260824_083027,1.0,-0.07,15.85
2026-08-24 08:40:02,xsp_auto_20260824_083058,-55.0,-1.97,15.85
2026-08-24 08:40:02,xsp_auto_20260824_083312,0.0,-0.02,15.85
2026-08-24 08:40:02,xsp_auto_20260824_083355,-7.0,-0.88,15.85
2026-08-24 08:40:02,xsp_auto_20260824_083418,8.5,-0.615,15.85
2026-08-24 08:40:02,xsp_auto_20260824_083440,-3.5,-0.345,15.85
2026-08-24 08:40:02,xsp_auto_20260824_083512,4.0,-0.14,15.85
2026-08-24 08:40:44,xsp_auto_20260824_083027,2.0,-0.06,15.85
2026-08-24 08:40:44,xsp_auto_20260824_083058,-52.0,-1.94,15.85
2026-08-24 08:40:44,xsp_auto_20260824_083312,1.0,-0.01,15.85
2026-08-24 08:40:44,xsp_auto_20260824_083355,0.0,-0.81,15.85
2026-08-24 08:40:44,xsp_auto_20260824_083418,0.0,-0.7,15.85
2026-08-24 08:40:44,xsp_auto_20260824_083440,2.5,-0.285,15.85
2026-08-24 08:40:44,xsp_auto_20260824_083512,2.0,-0.16,15.85
2026-08-24 08:41:25,xsp_auto_20260824_083027,2.0,-0.06,15.85
2026-08-24 08:41:25,xsp_auto_20260824_083058,-44.5,-1.865,15.85
2026-08-24 08:41:25,xsp_auto_20260824_083312,0.0,-0.02,15.85
2026-08-24 08:41:25,xsp_auto_20260824_083355,-4.0,-0.85,15.85
2026-08-24 08:41:25,xsp_auto_20260824_083418,3.5,-0.665,15.85
2026-08-24 08:41:25,xsp_auto_20260824_083440,3.0,-0.28,15.85
2026-08-24 08:41:25,xsp_auto_20260824_083512,4.5,-0.135,15.85
2026-08-24 08:42:06,xsp_auto_20260824_083027,2.0,-0.06,15.85
2026-08-24 08:42:06,xsp_auto_20260824_083058,-48.5,-1.905,15.85
2026-08-24 08:42:06,xsp_auto_20260824_083312,0.0,-0.02,15.85
2026-08-24 08:42:06,xsp_auto_20260824_083355,-5.0,-0.86,15.85
2026-08-24 08:42:06,xsp_auto_20260824_083418,6.0,-0.64,15.85
2026-08-24 08:42:06,xsp_auto_20260824_083440,1.5,-0.295,15.85
2026-08-24 08:42:06,xsp_auto_20260824_083512,5.5,-0.125,15.85
2026-08-24 08:42:47,xsp_auto_20260824_083027,-0.5,-0.085,15.85
2026-08-24 08:42:47,xsp_auto_20260824_083058,-69.0,-2.11,15.85
2026-08-24 08:42:47,xsp_auto_20260824_083312,-1.0,-0.03,15.85
2026-08-24 08:42:47,xsp_auto_20260824_083355,-18.0,-0.99,15.85
2026-08-24 08:42:47,xsp_auto_20260824_083418,18.5,-0.515,15.85
2026-08-24 08:42:47,xsp_auto_20260824_083440,-9.0,-0.4,15.85
2026-08-24 08:42:47,xsp_auto_20260824_083512,8.0,-0.1,15.85
2026-08-24 08:43:28,xsp_auto_20260824_083027,-1.5,-0.095,15.85
2026-08-24 08:43:28,xsp_auto_20260824_083058,-66.0,-2.08,15.85
2026-08-24 08:43:28,xsp_auto_20260824_083312,-1.0,-0.03,15.85
2026-08-24 08:43:28,xsp_auto_20260824_083355,-18.5,-0.995,15.85
2026-08-24 08:43:28,xsp_auto_20260824_083418,21.5,-0.485,15.85
2026-08-24 08:43:28,xsp_auto_20260824_083440,-10.5,-0.415,15.85
2026-08-24 08:43:28,xsp_auto_20260824_083512,8.0,-0.1,15.85
2026-08-24 08:44:09,xsp_auto_20260824_083027,-1.0,-0.09,15.85
2026-08-24 08:44:09,xsp_auto_20260824_083058,-73.5,-2.155,15.85
2026-08-24 08:44:09,xsp_auto_20260824_083312,-1.0,-0.03,15.85
2026-08-24 08:44:09,xsp_auto_20260824_083355,-22.5,-1.035,15.85
2026-08-24 08:44:09,xsp_auto_20260824_083418,27.0,-0.43,15.85
2026-08-24 08:44:09,xsp_auto_20260824_083440,-16.0,-0.47,15.85
2026-08-24 08:44:09,xsp_auto_20260824_083512,9.0,-0.09,15.85
2026-08-24 08:44:50,xsp_auto_20260824_083027,-4.5,-0.125,15.85
2026-08-24 08:44:50,xsp_auto_20260824_083058,-81.5,-2.235,15.85
2026-08-24 08:44:50,xsp_auto_20260824_083312,-2.0,-0.04,15.85
2026-08-24 08:44:50,xsp_auto_20260824_083355,-36.5,-1.175,15.85
2026-08-24 08:44:50,xsp_auto_20260824_083418,32.5,-0.375,15.85
2026-08-24 08:44:50,xsp_auto_20260824_083440,-28.0,-0.59,15.85
2026-08-24 08:44:50,xsp_auto_20260824_083512,9.5,-0.085,15.85
2026-08-24 08:45:45,xsp_auto_20260824_083027,-5.0,-0.13,15.85
2026-08-24 08:45:45,xsp_auto_20260824_083312,-2.5,-0.045,15.85
2026-08-24 08:45:45,xsp_auto_20260824_083355,-32.0,-1.13,15.85
2026-08-24 08:45:45,xsp_auto_20260824_083418,30.0,-0.4,15.85
2026-08-24 08:45:45,xsp_auto_20260824_083440,-21.5,-0.525,15.85
2026-08-24 08:45:45,xsp_auto_20260824_083512,9.5,-0.085,15.85
2026-08-24 08:46:37,xsp_auto_20260824_083027,-2.5,-0.105,15.84
2026-08-24 08:46:37,xsp_auto_20260824_083312,-1.0,-0.03,15.84
2026-08-24 08:46:37,xsp_auto_20260824_083418,20.0,-0.5,15.84
2026-08-24 08:46:37,xsp_auto_20260824_083440,-9.5,-0.405,15.84
2026-08-24 08:46:37,xsp_auto_20260824_083512,8.0,-0.1,15.84
2026-08-24 08:47:12,xsp_auto_20260824_083027,-0.5,-0.085,15.84
2026-08-24 08:47:12,xsp_auto_20260824_083312,-1.0,-0.03,15.84
