ts,trade_id,strategy,kind,action,leg,leg_bid,leg_ask,mid,spread,combo_fill
2026-08-25 08:43:06,xsp_auto_20260825_084230,eodic_c,entry,BUY,776C,0.01,0.02,0.015,0.01,0.02
2026-08-25 08:43:06,xsp_auto_20260825_084230,eodic_c,entry,SELL,773C,0.04,0.05,0.045,0.01,0.02
2026-08-25 08:44:13,xsp_auto_20260825_084313,eodfly_c,entry,BUY,768C,0.96,0.99,0.975,0.03,1.15
2026-08-25 08:44:13,xsp_auto_20260825_084313,eodfly_c,entry,SELL,766C,2.04,2.51,2.275,0.47,1.15
2026-08-25 08:45:00,xsp_auto_20260825_084252,eodfly_p,entry,BUY,763P,0.11,0.12,0.115,0.01,0.28
2026-08-25 08:45:00,xsp_auto_20260825_084252,eodfly_p,entry,SELL,766P,0.41,0.43,0.42,0.02,0.28
2026-08-25 09:07:39,xsp_auto_20260825_090642,openfly_p,entry,BUY,764P,0.18,0.2,0.19,0.02,0.7
2026-08-25 09:07:39,xsp_auto_20260825_090642,openfly_p,entry,SELL,767P,0.86,0.88,0.87,0.02,0.7
2026-08-25 09:08:52,xsp_auto_20260825_090720,openfly_c,entry,BUY,770C,0.1,0.12,0.11,0.02,0.82
2026-08-25 09:08:52,xsp_auto_20260825_090720,openfly_c,entry,SELL,767C,0.94,0.97,0.955,0.03,0.82
2026-08-25 09:09:13,xsp_auto_20260825_090742,gx_bps,entry,BUY,762P,0.08,0.09,0.085,0.01,0.23
2026-08-25 09:09:13,xsp_auto_20260825_090742,gx_bps,entry,SELL,765P,0.33,0.34,0.335,0.01,0.23
2026-08-25 09:09:35,xsp_auto_20260825_090803,gx_bcs,entry,BUY,769C,0.23,0.25,0.24,0.02,1.24
2026-08-25 09:09:35,xsp_auto_20260825_090803,gx_bcs,entry,SELL,766C,1.48,1.66,1.57,0.18,1.24
2026-08-26 08:31:46,xsp_auto_20260826_083028,eodic_p,entry,BUY,758P,0.03,0.05,0.04,0.02,0.03
2026-08-26 08:31:46,xsp_auto_20260826_083028,eodic_p,entry,SELL,760P,0.06,0.07,0.065,0.01,0.03
2026-08-26 08:34:26,xsp_auto_20260826_083315,eodfly_c,entry,BUY,770C,0.17,0.18,0.175,0.01,0.51
2026-08-26 08:34:26,xsp_auto_20260826_083315,eodfly_c,entry,SELL,768C,0.69,0.71,0.7,0.02,0.51
2026-08-26 08:35:36,xsp_auto_20260826_083339,eodfly_p,entry,BUY,765P,0.35,0.37,0.36,0.02,1.03
2026-08-26 08:35:36,xsp_auto_20260826_083339,eodfly_p,entry,SELL,768P,1.4,1.51,1.455,0.11,1.03
2026-08-26 09:06:22,xsp_auto_20260826_090549,openfly_p,entry,BUY,766P,0.24,0.26,0.25,0.02,0.45
2026-08-26 09:06:22,xsp_auto_20260826_090549,openfly_p,entry,SELL,768P,0.69,0.71,0.7,0.02,0.45
2026-08-26 09:07:35,xsp_auto_20260826_090646,gx_bcs,entry,BUY,772C,0.08,0.09,0.085,0.01,0.26
2026-08-26 09:07:35,xsp_auto_20260826_090646,gx_bcs,entry,SELL,770C,0.35,0.37,0.36,0.02,0.26
2026-08-26 09:08:29,xsp_auto_20260826_090613,openfly_c,entry,BUY,771C,0.15,0.17,0.16,0.02,1.01
2026-08-26 09:08:29,xsp_auto_20260826_090613,openfly_c,entry,SELL,768C,1.18,1.2,1.19,0.02,1.01
